team,player,status,reason
"Galloway,Langston",Injury/Illness,Illness,Available
"Griffin,Blake",Injury/Illness,LeftKneeSoreness,Out
"Kennard,Luke",Injury/Illness,RightFootSoreness,Out
"Collison,Darren",Injury/Illness,Soregroin,Out
"Evans,Tyreke",Injury/Illness,Bruisedrightknee,Available
"Johnson,Alize",Injury/Illness,Soreleftfoot,Out
"Matthews,Wesley",Injury/Illness,Righthamstringstrain,Out
"Oladipo,Victor",Injury/Illness,Rightkneesurgery,Out
"CarterJr.,Wendell",Injury/Illness,Thumbsurgery-left,Out
"Dunn,Kris",Injury/Illness,Midbackstrain,Out
"Hutchison,Chandler",Injury/Illness,Toeinjury-right,Out
"LaVine,Zach",Injury/Illness,Thighcontusion-rightand,Out
"Crabbe,Allen",Injury/Illness,Sorerightknee,Out
"Kurucs,Rodions",Injury/Illness,Rightkneecontusion,Available
"Antetokounmpo,Giannis",Injury/Illness,Rightanklesprain,Available
"Brogdon,Malcolm",Injury/Illness,Rightfootplantarfascia,Out
"DiVincenzo,Donte",Injury/Illness,Bilateralheelbursitis,Out
"Gasol,Pau",Injury/Illness,Leftfootsoreness,Out
"Ilyasova,Ersan",Injury/Illness,Backsoreness,Out
"Middleton,Khris",Injury/Illness,Leftgroinsoreness,Out
"Mirotic,Nikola",Injury/Illness,Leftthumbsprain/fracture,Out
"Snell,Tony",Injury/Illness,Leftanklesprain,Out
"Bamba,Mo",Injury/Illness,LeftTibiaStressFracture,Out
"Briscoe,Isaiah",Injury/Illness,TornMeniscusRightKnee,Out
"Caupain,Troy",GLeagueTeam,,Out
"FrazierJr.,Melvin",GLeagueTeam,,Out
"Fultz,Markelle",Injury/Illness,ThoracicOutletSyndrome,Out
"Mozgov,Timofey",Injury/Illness,RightKneeSurgery,Out
"Anunoby,OG",Injury/Illness,Concussion-likesymptoms,Out
"McCaw,Patrick",Injury/Illness,Sprainedrightthumb,Out
"Covington,Robert",Injury/Illness,RightKneeBoneBruise,Out
"Deng,Luol",Injury/Illness,SoreLeftAchilles,Out
"Gibson,Taj",Injury/Illness,LeftCalfStrain,Out
"Rose,Derrick",Injury/Illness,RightElbowSurgery,Out
"Teague,Jeff",Injury/Illness,LeftFootInflammation,Out
"McCollum,a",Injury/Illness,Leftknee,Out
"Nurkic,Jusuf",Injury/Illness,Leftleg,Out
"Barea,J.J.",Injury/Illness,RightAchillessurgery,Out
"Doncic,Luka",/Illness,Rightthighcontusion,Out
"HardawayJr.,Tim",Injury/Illness,Lefttibiastressreaction,Out
"Porzingis,Kristaps",Injury/Illness,Leftkneesurgery,Out
"Butler,Jimmy",Injury/Illness,Backtightness,Out
"Embiid,Joel",Injury/Illness,Loadmanagement-leftknee,Out
"Korkmaz,Furkan",Injury/Illness,Rightkneesurgery,Out
"Chealey,Joe",GLeagueTeam,,Out
"Zeller,Cody",Injury/Illness,LeftKneeSoreness,Out
"Exum,Dante",Injury/Illness,kneesurgery-right,Out
"Favors,Derrick",Injury/Illness,backspasms,Out
"Korver,Kyle",Injury/Illness,Kneesoreness-right,Out
"Neto,Raul",Injury/Illness,concussionprotocol,Available
"Dellavedova,Matthew",Injury/Illness,Concussion,Out
"Henson,John",Injury/Illness,LeftWristSurgery,Out
"Love,Kevin",Injury/Illness,LeftShoulderSoreness,Out
"Smith,JR",NotWithTeam,,Out
"Ayton,Deandre",Injury/Illness,Leftanklesprain,Out
"Johnson,Tyler",Injury/Illness,Sorerightknee,Out
"OubreJr.,Kelly",Injury/Illness,Leftthumbsprain,Out
"Warren,T.J.",Injury/Illness,Rightanklesoreness,Out
"Ball,Lonzo",Injury/Illness,Leftanklesprain,Out
"Bullock,Reggie",Injury/Illness,Rightplantarfasciitis,Probable
"Chandler,Tyson",Injury/Illness,Flu,Out
"Hart,Josh",Injury/Illness,Rightkneedebridement,Out
"James,LeBron",Injury/Illness,Soreleftgroin,Out
"Kuzma,Kyle",Injury/Illness,Leftfootperonealtendinitis,Questionable
"Roberson,Andre",Injury/Illness,LeftPatellarTendon,Out
"Collins,John",Rest,Loadmanagement,Doubtful
"Dedmon,Dewayne",Injury/Illness,Leftanklesoreness,Out
"Plumlee,Miles",Injury/Illness,"Cartilageinjury,leftknee",Out
"Poythress,Alex",Injury/Illness,Rightanklesprain,Out
"Prince,Taurean",Injury/Illness,Bilateralfootsoreness,Doubtful
"Spellman,Omari",Injury/Illness,Leftanklesprain,Out
"Murray,Dejounte",Injury/Illness,Tornrightanteriorcruciate,Out
